title~views~since_upload~link
Katy Perry - I Think I'm Ready (Remixed / Remastered 2023 / Visualizer)~527,020~3 months ago 2 minutes, 37 seconds~https://www.youtube.com/watch?v=3DWSo7XWATPs4
Katy Perry - A Cup Of Coffee (Remixed / Remastered 2023 / Visualizer)~190,423~3 months ago 4 minutes, 17 seconds~https://www.youtube.com/watch?v=3DHLNENWkNDhA
Katy Perry: By The Grace of God x Haven Madison: Still Need You (American Idol Finale Duet)~146,368~4 months ago 2 minutes, 24 seconds~https://www.youtube.com/watch?v=3DCWOqqjO3VnQ
Katy Perry - #VevoCertified, Pt. 3: Katy Talks About Her Fans~740,124~11 years ago 1 minute, 29 seconds~https://www.youtube.com/watch?v=3Dx0nQ9s3bLsg
Katy Perry - #VEVOCertified, Pt. 2: Katy On Making Music Videos~948,231~11 years ago 2 minutes, 25 seconds~https://www.youtube.com/watch?v=3DjEswn9yB0wQ
Katy Perry - #VevoCertified, Pt. 4: Katy's Favorite Video~592,961~11 years ago 1 minute, 1 second~https://www.youtube.com/watch?v=3DG7TGJwsWP0k
Katy Perry - #VevoCertified Pt. 1: Award Presentation~1,045,278~11 years ago 2 minutes, 27 seconds~https://www.youtube.com/watch?v=3D3YffSkMkb78
Katy Perry - Wide Awake (Official Video)~1,008,495,109~11 years ago 4 minutes, 37 seconds~https://www.youtube.com/watch?v=3Dk0BWlvnBmIE
Katy Perry - Wide Awake (Music Video Trailer)~3,154,043~11 years ago 1 minute, 22 seconds~https://www.youtube.com/watch?v=3DFtaYzjnzxpw
&quot;Katy Perry: Part of Me&quot; in 3D clip: Adventure~294,913~11 years ago 54 seconds~https://www.youtube.com/watch?v=3DK3Cw488fK-A
Katy Perry - Wide Awake (Lyric Video)~35,464,576~11 years ago 3 minutes, 47 seconds~https://www.youtube.com/watch?v=3D-3D5FwwtNVM
Katy Perry: Part of Me 3D Official Trailer~3,815,367~11 years ago 2 minutes, 7 seconds~https://www.youtube.com/watch?v=3Dy2zSRx3VbdI
Katy Perry - Part Of Me Theatrical Trailer~4,444,578~11 years ago 1 minute, 48 seconds~https://www.youtube.com/watch?v=3DK16NvLCk2CY
Katy Perry - Dressin' Up (Lyric Video)~10,103,062~11 years ago 3 minutes, 47 seconds~https://www.youtube.com/watch?v=3DC86okMJYJ3E
Katy Perry - Tommie Sunshine=E2=80=99s Megasix Smash-Up~12,873,995~11 years ago 7 minutes, 18 seconds~https://www.youtube.com/watch?v=3DSbppJusWws0
Katy Perry - Waking Up In Vegas (Manhattan Clique Remix)~8,866,538~11 years ago 3 minutes, 3 seconds~https://www.youtube.com/watch?v=3D-m4QgmU4zts
Katy Perry's Got a Golden Ticket!~340,358~11 years ago 41 seconds~https://www.youtube.com/watch?v=3DjwVxeh9mNis
Katy Perry's Music Video Creator's YouTube Playlist~128,893~11 years ago 4 minutes, 14 seconds~https://www.youtube.com/watch?v=3DRTxKtHCkEVk
Katy Perry - Part Of Me (Official)~957,186,277~11 years ago 4 minutes, 12 seconds~https://www.youtube.com/watch?v=3DuuwfgXD8qV8
Katy Perry - &quot;Part of Me (Jacques Lu Cont's Thin White Duke Remix)&quot;~639,537~11 years ago 6 minutes, 5 seconds~https://www.youtube.com/watch?v=3DKrC6EQjzQy0
Katy Perry - Part Of Me (Lyric Video)~62,827,440~11 years ago 3 minutes, 40 seconds~https://www.youtube.com/watch?v=3D2Fko7_SV3Lc
Katy Perry - &quot;The One That Got Away (Acoustic)&quot; Official Chord &amp; Lyric Video~8,688,079~11 years ago 4 minutes, 21 seconds~https://www.youtube.com/watch?v=3DL9loYptxSQk
Katy Perry - &quot;The One That Got Away (Acoustic)&quot;~2,731,654~11 years ago 4 minutes, 20 seconds~https://www.youtube.com/watch?v=3DPSWWVXGQG8Y
Katy Perry - The Making of =E2=80=9CThe One That Got Away=E2=80=9D Music Video~3,859,872~11 years ago 5 minutes, 30 seconds~https://www.youtube.com/watch?v=3DLG1bLlGfirw
Katy Perry - The One That Got Away (Official Music Video)~995,473,181~11 years ago 4 minutes, 50 seconds~https://www.youtube.com/watch?v=3DAhha3Cqe_fk
Katy Perry - The One That Got Away (Music Video Trailer)~9,811,892~11 years ago 36 seconds~https://www.youtube.com/watch?v=3DUhQsh6ciXuc
Katy Perry Concert Candy: Mexico~512,350~11 years ago 4 minutes, 16 seconds~https://www.youtube.com/watch?v=3DbXitva00Ves
Katy Perry - The One That Got Away~13,320,751~12 years ago 3 minutes, 49 seconds~https://www.youtube.com/watch?v=3DePQe5E69INg
Katy Perry Concert Candy: West Coast~436,969~12 years ago 4 minutes, 50 seconds~https://www.youtube.com/watch?v=3D7JNC2L1yizY
Katy Perry Concert Candy: East Coast~354,401~12 years ago 4 minutes, 52 seconds~https://www.youtube.com/watch?v=3DMBpkQd2Yar0
Katy Perry - Making of =E2=80=9CLast Friday Night (T.G.I.F.)=E2=80=9D Music Video~10,048,148~12 years ago 13 minutes, 28 seconds~https://www.youtube.com/watch?v=3DCsYnQjJRf6o
Katy Perry Concert Candy: Atlanta~280,433~12 years ago 3 minutes, 44 seconds~https://www.youtube.com/watch?v=3DPaeUsJeRChw
Katy Perry - &quot;Last Friday Night (T.G.I.F.) [feat. Missy Elliott]&quot; Official Lyric Video~1,750,002~12 years ago 4 minutes~https://www.youtube.com/watch?v=3DvHl2fL22xrI
Katy Perry &quot;The Smurfs Movie Audience Appeal&quot;~114,663~12 years ago 52 seconds~https://www.youtube.com/watch?v=3DeOhSUppHKDU
Creating Smurfette Character~101,313~12 years ago 1 minute~https://www.youtube.com/watch?v=3D1qok_tqwHS0
Katy Perry &quot;The Smurfs Take Manhattan&quot;~90,287~12 years ago 21 seconds~https://www.youtube.com/watch?v=3D-iEbRX4bBeQ
Katy Perry As Smurfette With Gutsy Smurf~705,656~12 years ago 23 seconds~https://www.youtube.com/watch?v=3Ddc7D0Ay78OE
Katy Perry - Recording the Voice of Smurfette~240,142~12 years ago 42 seconds~https://www.youtube.com/watch?v=3DmtNVfFkzWUI
Katy Perry &quot;The Smurfs - Meet Smurfette [Trailer]&quot;~3,907,639~12 years ago 18 seconds~https://www.youtube.com/watch?v=3DRzJsVEnf6lU
Katy Perry talks about The Smurfs - Animation~313,555~12 years ago 40 seconds~https://www.youtube.com/watch?v=3DrNAOGOIeA0c
Katy Perry Concert Candy: Japan~540,238~12 years ago 5 minutes, 23 seconds~https://www.youtube.com/watch?v=3D6gNSitj9XJQ
Katy Perry - Uncle Kenny (Making of =E2=80=9CLast Friday Night (T.G.I.F.)=E2=80=9D) - Part 7~1,231,163~12 years ago 30 seconds~https://www.youtube.com/watch?v=3DB8j1HN5ouf4
Katy Perry - Jocks (Making of =E2=80=9CLast Friday Night (T.G.I.F.)=E2=80=9D) - Part 6~3,120,440~12 years ago 1 minute, 9 seconds~https://www.youtube.com/watch?v=3DHC6KwP0U7K0
Katy Perry - Last Friday Night (T.G.I.F.) (Official Music Video)~1,486,579,455~12 years ago 8 minutes, 5 seconds~https://www.youtube.com/watch?v=3DKlyXNRrsk4A
Katy Perry - 8th Grade Is STILL Weird (Making of =E2=80=9CLast Friday Night (T.G.I.F.)=E2=80=9D) - Part 5~4,646,297~12 years ago 1 minute, 2 seconds~https://www.youtube.com/watch?v=3DaJVSLqtB3pk
The Love of Everett McDonald=E2=80=99s Life (Making of =E2=80=9CLast Friday Night (T.G.I.F.)=E2=80=9D) - Part 4~3,219,851~12 years ago 44 seconds~https://www.youtube.com/watch?v=3DUOE5iX7CKb0
Katy Perry - Get Off Me Everett! (Making of =E2=80=9CLast Friday Night (T.G.I.F.)=E2=80=9D) - Part 3~7,294,718~12 years ago 32 seconds~https://www.youtube.com/watch?v=3Dlps8NIAjpgE
Katy Perry - I Go For Steve Johnson (Making of =E2=80=9CLast Friday Night (T.G.I.F.)=E2=80=9D) - Part 2~3,045,328~12 years ago 42 seconds~https://www.youtube.com/watch?v=3DJRSvnKUZiUQ
Katy Perry - Nobody Likes Kathy Beth Terry on Facebook (Making of =E2=80=9CLast Friday Night (T...~5,363,688~12 years ago 1 minute, 9 seconds~https://www.youtube.com/watch?v=3DyAtvoXNO91c
Katy Perry - &quot;Last Friday Night (T.G.I.F.)&quot; official music video teaser~15,855,249~12 years ago 35 seconds~https://www.youtube.com/watch?v=3DGhe52kEPpAQ
Concert Candy: Wembley~210,420~12 years ago 3 minutes, 50 seconds~https://www.youtube.com/watch?v=3D7tuvVk3DqK8
Katy Perry Concert Candy: UK Tour~445,224~12 years ago 5 minutes~https://www.youtube.com/watch?v=3DouEAIKq0vgk
Behind the Scenes - Katy Perry Performs &quot;E.T.&quot; on American Idol!~474,190~12 years ago 4 minutes, 4 seconds~https://www.youtube.com/watch?v=3DRv6JkFjb42w
Katy Perry Concert Candy: Europe~331,933~12 years ago 4 minutes, 19 seconds~https://www.youtube.com/watch?v=3DnLVkmsoGCyg
Katy Perry &quot;E.T.&quot; New York and LA Landings~189,230~12 years ago 1 minute, 38 seconds~https://www.youtube.com/watch?v=3DO2sCa22oHFc
Katy Perry - E.T. ft. Kanye West (Official Music Video)~666,819,458~12 years ago 5 minutes, 2 seconds~https://www.youtube.com/watch?v=3Dt5Sd5c4o9UM
Katy Perry Concert Candy: LA Rehearsals~491,855~12 years ago 4 minutes, 41 seconds~https://www.youtube.com/watch?v=3D_6w4SzbhR5Y
Katy Perry - &quot;E.T.&quot; (feat. Kanye West) Official Music Video Teaser~1,726,726~12 years ago 20 seconds~https://www.youtube.com/watch?v=3D5DcGz26ghN8
Katy Perry - &quot;E.T.&quot; (feat. Kanye West) Official Lyrics Video~41,732,182~12 years ago 3 minutes, 51 seconds~https://www.youtube.com/watch?v=3DOehxXNCYvTM
Katy Perry California Dreams Tour 2011~516,512~12 years ago 1 minute, 6 seconds~https://www.youtube.com/watch?v=3D4hb-ZCA67sM
Katy Perry - E.T. (Audio)~45,789,531~12 years ago 3 minutes, 29 seconds~https://www.youtube.com/watch?v=3D18oYGsmUprM
Katy Perry GRAMMY Promo Spot~295,477~12 years ago 30 seconds~https://www.youtube.com/watch?v=3D-w-AcOJYfBQ
Katy Perry Firework Contest Wrap-Up~117,246~12 years ago 1 minute, 57 seconds~https://www.youtube.com/watch?v=3D-K2VHQr0OVU
Katy Perry - Making of the =E2=80=9CFirework=E2=80=9D Music Video~3,673,301~12 years ago 21 minutes~https://www.youtube.com/watch?v=3D4X-f-TIsT5M
Katy Perry responds: &quot;What's Behind Your Visual Transformation for 'Teenage Dream?'&quot;~300,112~12 years ago 2 minutes, 53 seconds~https://www.youtube.com/watch?v=3DNL_NGRZFrdo
Katy's Project - The Story of Firework~674,589~12 years ago 3 minutes, 2 seconds~https://www.youtube.com/watch?v=3D-SjIjS4fEI8
Katy Perry - Firework (Official Music Video)~1,441,483,675~12 years ago 3 minutes, 54 seconds~https://www.youtube.com/watch?v=3DQGJuMBdaqIw
Katy Perry - Teenage Dream (Kaskade Club Remix Video)~12,213,874~12 years ago 4 minutes, 40 seconds~https://www.youtube.com/watch?v=3DSYKnTeclmOs
Katy Perry responds: Have changes in your life changed your writing?~169,608~12 years ago 2 minutes~https://www.youtube.com/watch?v=3DxuK03v0W7Qg
Katy Perry Firework Contest~761,244~12 years ago 1 minute, 34 seconds~https://www.youtube.com/watch?v=3D_oQsEvFrZ6Y
Katy Perry talks &quot;Hummingbird Heartbeat&quot;~255,658~12 years ago 1 minute, 27 seconds~https://www.youtube.com/watch?v=3DleSFvJlh_bE
Katy Perry &quot;Firework&quot; Official Teaser Trailer (HD)~2,902,773~13 years ago 51 seconds~https://www.youtube.com/watch?v=3DqBmClxHUaJE
Katy Perry - Firework (Lyric Video)~6,597,013~13 years ago 3 minutes, 47 seconds~https://www.youtube.com/watch?v=3Db3bkpyNiv8Y
Katy Perry responds: &quot;Why Did You Name the Album 'Teenage Dream?'&quot;~206,463~13 years ago 1 minute, 21 seconds~https://www.youtube.com/watch?v=3DTAXZY7Am2hE
Katy Perry &quot;Firework&quot; Official Lyric Video~23,727,903~13 years ago 3 minutes, 49 seconds~https://www.youtube.com/watch?v=3DvlLgvQErn6o
Katy Perry talks &quot;Firework&quot;~345,775~13 years ago 1 minute, 41 seconds~https://www.youtube.com/watch?v=3D1VClUOTOwTc
Katy Perry responds: &quot;What are you looking forward to most on this album cycle?&quot;~174,012~13 years ago 2 minutes, 9 seconds~https://www.youtube.com/watch?v=3DWirMlNbwOTM
Katy Perry sings &quot;Hot N Cold&quot; with Elmo on Sesame Street!~99,504,502~13 years ago 2 minutes, 33 seconds~https://www.youtube.com/watch?v=3DYHROHJlU_Ng
Katy Perry talks &quot;Pearl&quot;~429,295~13 years ago 2 minutes, 17 seconds~https://www.youtube.com/watch?v=3DrFlVK_B5QTE
Katy Perry responds: &quot;How Does 'Teenage Dream' Differ from 'One of The Boys'?&quot;~580,574~13 years ago 3 minutes, 16 seconds~https://www.youtube.com/watch?v=3DaoinZO4xQtQ
Katy Perry - Teenage Dream (Director's Cut)~61,301,733~13 years ago 3 minutes, 55 seconds~https://www.youtube.com/watch?v=3D41i4uCWST_U
Katy Perry talks &quot;Peacock&quot;~348,923~13 years ago 1 minute, 43 seconds~https://www.youtube.com/watch?v=3DRr1yo7kvXl8
The Making of Katy Perry's 'Teenage Dream' Album Packaging~2,832,708~13 years ago 5 minutes, 24 seconds~https://www.youtube.com/watch?v=3DCu9wk2KCCYU
Katy Perry talks &quot;E.T.&quot;~649,216~13 years ago 1 minute, 59 seconds~https://www.youtube.com/watch?v=3DPZeYkeD8WA0
Katy Perry talks &quot;Circle the Drain&quot;~307,042~13 years ago 1 minute, 32 seconds~https://www.youtube.com/watch?v=3D94x_0wkHSXg
Katy Perry - Teenage Dream (Official Music Video)~325,317,955~13 years ago 3 minutes, 50 seconds~https://www.youtube.com/watch?v=3D98WtmW-lfeE
Katy Perry - &quot;Not Like the Movies&quot; - Official Lyric Video~16,102,769~13 years ago 4 minutes, 6 seconds~https://www.youtube.com/watch?v=3D9ewTkrfaWtA
Katy Perry talks &quot;Not Like the Movies&quot;~358,112~13 years ago 2 minutes, 31 seconds~https://www.youtube.com/watch?v=3DoKW2WvSUHQI
The YouTube Interview with Katy Perry~6,340,453~13 years ago 31 minutes~https://www.youtube.com/watch?v=3DUOtJUmiUZ08
&quot;Teenage Dream&quot; (Lyrics)~40,702,373~13 years ago 3 minutes, 59 seconds~https://www.youtube.com/watch?v=3D8fj2HVYlD_4
Katy Perry talks &quot;Teenage Dream&quot;~850,180~13 years ago 2 minutes, 8 seconds~https://www.youtube.com/watch?v=3DqhBBtqPclf0
Katy Perry - Making of =E2=80=9CCalifornia Gurls=E2=80=9D Music Video~12,089,664~13 years ago 5 minutes, 34 seconds~https://www.youtube.com/watch?v=3D8zgb7ZnxHBc
Katy Perry - Ask Katy~2,787,286~13 years ago 1 minute, 23 seconds~https://www.youtube.com/watch?v=3Dap4rq7GX410
Katy Perry talks &quot;California Gurls&quot;~1,133,757~13 years ago 2 minutes, 6 seconds~https://www.youtube.com/watch?v=3DdfWAJG8NliQ
Katy Perry - On the set of &quot;California Gurls&quot;: Day 2~6,724,567~13 years ago 37 seconds~https://www.youtube.com/watch?v=3DVlJdABeVfzE
Katy Perry - California Gurls (Official Music Video) ft. Snoop Dogg~706,938,556~13 years ago 3 minutes, 54 seconds~https://www.youtube.com/watch?v=3DF57P9C4SAW4
Katy Perry - On the set of &quot;California Gurls&quot;: Day 1~4,400,703~13 years ago 42 seconds~https://www.youtube.com/watch?v=3Dvze4NbQCGBA
California Gurls (30 sec. teaser)~2,740,075~13 years ago 31 seconds~https://www.youtube.com/watch?v=3DsGGObv6GNME
Katy Perry - The CW Sizzle Reel~448,296~13 years ago 1 minute, 3 seconds~https://www.youtube.com/watch?v=3D5GT37oxsS2U
Katy Perry - California Gurls ft. Snoop (Lyric Video)~33,880,251~13 years ago 3 minutes, 56 seconds~https://www.youtube.com/watch?v=3DCTVJTt-Gfx8
SoundsOfBuzz.com Trailer~222,646~14 years ago 41 seconds~https://www.youtube.com/watch?v=3Dv-Dh8DXDUMA
Katy Perry - Waking Up In Vegas (Official)~99,985,793~14 years ago 3 minutes, 19 seconds~https://www.youtube.com/watch?v=3D1-pUaogoX5o
Katy Perry - Thinking Of You (Official)~148,112,659~14 years ago 4 minutes, 20 seconds~https://www.youtube.com/watch?v=3DwdGZBRAwW74
Katy Perry - YouTube Live~1,742,442~14 years ago 2 minutes, 59 seconds~https://www.youtube.com/watch?v=3DfSgGV1llVHM
Katy Perry - Hot N Cold (Official Music Video)~1,184,816,497~15 years ago 4 minutes, 44 seconds~https://www.youtube.com/watch?v=3DkTHNpusq654
MTV Invites Katy to Host their Europe Music Awards...~536,266~15 years ago 1 minute, 7 seconds~https://www.youtube.com/watch?v=3DYFDPTyr1huo
Cologne Show Highlights~269,721~15 years ago 3 minutes, 49 seconds~https://www.youtube.com/watch?v=3DAVOXHPHYyvw
Germany~283,829~15 years ago 5 minutes, 36 seconds~https://www.youtube.com/watch?v=3D4D3oIMAXQg8
Berlin to London to Paris to Marcielles Webisode~280,118~15 years ago 3 minutes, 55 seconds~https://www.youtube.com/watch?v=3Dw-2TDXkKrS8
Milan~256,750~15 years ago 3 minutes, 35 seconds~https://www.youtube.com/watch?v=3D5u_x0rekgf8
Thinking of You - Katy Perry~246,778~15 years ago 4 minutes, 14 seconds~https://www.youtube.com/watch?v=3DGYx9oKQn0Z4
Katy Perry - I Kissed A Girl (Official Music Video)~275,438,840~15 years ago 3 minutes, 5 seconds~https://www.youtube.com/watch?v=3DtAp9BKosZXs
Katy Perry - Ur So Gay (Official)~68,262,074~15 years ago 3 minutes, 39 seconds~https://www.youtube.com/watch?v=3DtWbLkXhGEmo
