title~views~uptime_y~uptime_m~uptime_d~link
As=C3=AD es el PRIMER OXXO del mundo | =C2=BFC=C3=B3mo fue tan exitoso? =F0=9F=9B=92~133,390~0~1~29~https://www.youtube.com/watch?v=3DWa7zKL2abFc
What is a supermarket like in SOUTH KOREA?~10,739,755~1~13~394~https://www.youtube.com/watch?v=3Dl6Zc-xCwQUQ
Visiting the border of NORTH KOREA: The &quot;most feared&quot; country~14,365,692~1~13~394~https://www.youtube.com/watch?v=3DJ4mFJqD7GIU
How does American fast food change in SOUTH KOREA?~14,493,577~1~13~394~https://www.youtube.com/watch?v=3DR78IADipbZI
Is South Korea really as amazing as we think it is? Seoul =F0=9F=87=B0=F0=9F=87=B7~15,219,919~1~13~394~https://www.youtube.com/watch?v=3DKO1s1uMqgeM
I moved to the &quot;rich people&quot; zone of my city | POLANCO CDMX~5,223,715~1~13~394~https://www.youtube.com/watch?v=3DuGU90X1GWAI
WHAT DID THEY GIVE ME TO DRINK! | Iquitos: A SAVAGE city | Peru~7,154,491~1~13~394~https://www.youtube.com/watch?v=3DtTGBiyF6vkk
The strangest market I have ever visited | Amazon: Belen, Peru~12,219,762~1~13~394~https://www.youtube.com/watch?v=3DL3bp3lJScXU
In search of the &quot;chullachaqui&quot;: the demon of the jungle... | FEAR LEGENDS~4,234,808~1~13~394~https://www.youtube.com/watch?v=3Dc4JAW5ta7Vc
This hotel is built on TREES | Tree Lodge Amazonas~5,216,610~1~13~394~https://www.youtube.com/watch?v=3DVupspyQYYdY
Las curiosas mascotas de la gente de la selva amaz=C3=B3nica | =C2=BFC=C3=B3mo viven?~6,878,463~1~13~394~https://www.youtube.com/watch?v=3DvfYyqVVNGeM
Tips for surviving in the jungle : What insects and mushrooms to eat?~8,387,752~1~13~394~https://www.youtube.com/watch?v=3DEVT7e3j1FxY
Is it dangerous to swim in the AMAZON? | Fishing for piranhas~14,360,735~1~13~394~https://www.youtube.com/watch?v=3DZWRFw3KiYNg
The house of my dreams that ended up being a NIGHTMARE....~8,219,109~1~13~394~https://www.youtube.com/watch?v=3D00yme7XOzLc
My official $0 tour of Mexico City: Av Reforma =F0=9F=87=B2=F0=9F=87=BD=F0=9F=8F=99~3,395,272~1~13~394~https://www.youtube.com/watch?v=3DGc7Hv5EB8IM
MY TEQUILA'S NEW FLAVOR | Gran Malo Horchata~1,850,452~1~13~394~https://www.youtube.com/watch?v=3DMvU_LFyzAGM
Testing the world's smallest spy cameras... =F0=9F=A4=AF~3,132,182~1~13~394~https://www.youtube.com/watch?v=3DxHiT4GQ_jAc
This is how the MEGA CHAOS was experienced in the city | Did everything collapse? =F0=9F=9A=8D=F0=9F=98=B1~2,409,569~1~13~394~https://www.youtube.com/watch?v=3Dlqx3xnxGM0M
The &quot;smart&quot; camera that is also your cameraman | Canon Pick: good or bad?~1,379,420~1~13~394~https://www.youtube.com/watch?v=3DJAIdpfkr8CQ
Why do PUBLIC PHONES still exist?~3,840,429~1~13~394~https://www.youtube.com/watch?v=3D825_9gP1O-w
THE GUANAJUATO MUMMIES: Are they as scary as they say?~5,854,710~1~13~394~https://www.youtube.com/watch?v=3DskbyGYeXBLw
BREAKING THINGS IN SUPER SLOW MOTION~1,904,709~1~13~394~https://www.youtube.com/watch?v=3DbLg7tWai16E
I put to the test products that promise to make your life &quot;easier&quot;...~3,711,561~1~13~394~https://www.youtube.com/watch?v=3DYKMLs7dxWXg
Babies that look real, but ARE NOT : Hyperrealistic Reborn Babies~5,764,493~1~13~394~https://www.youtube.com/watch?v=3DiOZfoHcU4nY
Trying MrBeast's burgers | GOOD or TERRIBLE? =F0=9F=8D=94~8,363,516~1~13~394~https://www.youtube.com/watch?v=3D8Bh8Xn6W-BE
The story of DUOLINGO: The app that is taking the world by storm =F0=9F=A6=89~2,702,851~1~13~394~https://www.youtube.com/watch?v=3DBYpaVzAswmE
A day living and training in a Chilean military unit~4,155,307~1~13~394~https://www.youtube.com/watch?v=3DyyoQ6ZT0RvE
Walking on a GLACIER in the Chilean Patagonia =F0=9F=A5=B6=F0=9F=87=A8=F0=9F=87=B1~6,433,717~1~13~394~https://www.youtube.com/watch?v=3DNFKUR2JchKY
This place is the END OF THE WORLD - Is there anything after here?!~11,074,932~1~13~394~https://www.youtube.com/watch?v=3D68ielTX9tJ8
Torres del Paine: cold, pain and beauty | CHILEAN PATAGONIA~3,977,479~1~13~394~https://www.youtube.com/watch?v=3DlxbuVQvm3Qo
PATAGONIA: The South Pole of the planet | A very cold paradise =F0=9F=A5=B6=F0=9F=8F=94~4,043,473~1~13~394~https://www.youtube.com/watch?v=3DJP8YK64cY78
Chile's presidents office and the &quot;coffees with legs&quot; | SANTIAGO =F0=9F=87=A8=F0=9F=87=B1~3,634,581~1~13~394~https://www.youtube.com/watch?v=3DfGNMzFc-QKo
What is the best SPICY CANDY in the store? =F0=9F=A5=B5=F0=9F=8D=AD~3,442,379~1~13~394~https://www.youtube.com/watch?v=3DVA8BRKIkvyw
Tell me the capital of 5 COUNTRIES and I'll give you $500!~3,388,998~1~13~394~https://www.youtube.com/watch?v=3DoP5iIEskF6w
The work of a &quot;PACKER&quot;: the makeup artists of the dead =F0=9F=92=80~8,154,824~1~13~394~https://www.youtube.com/watch?v=3DL_7UWTwWRJ4
CAMBODIA: Everyone is VERY happy here =F0=9F=98=81.~2,135,513~1~13~394~https://www.youtube.com/watch?v=3DUgLuIrX2kE8
Angkor Wat: The world wonder never named =F0=9F=9B=95~2,027,989~1~13~394~https://www.youtube.com/watch?v=3DwtWGbuTmIuo
The most impressive street market I have ever visited: CAMBODIA~6,623,930~1~13~394~https://www.youtube.com/watch?v=3DK7B-aO65OWw
HOW MEDICINES ARE MADE?: A day in a pharmaceutical laboratory =F0=9F=92=8A~2,404,609~1~13~394~https://www.youtube.com/watch?v=3De6DNgTGS18Q
The world's MOST MODERN airport (they use robots) | South Korea =F0=9F=87=B0=F0=9F=87=B7=F0=9F=A4=96~5,195,754~1~13~394~https://www.youtube.com/watch?v=3De5zT-FIb_g4
Touring a MASSIVE piracy market in Asia: THERE IS EVERYTHING =F0=9F=98=B1.~2,742,883~1~13~394~https://www.youtube.com/watch?v=3Dq_4XgtV2Mww
The rules for being a BUDDHIST MONK in a monastery~1,799,910~1~13~394~https://www.youtube.com/watch?v=3DkUm3I5FGkl0
Charcoal-grilled dog meat: The strange &quot;specialty&quot; of this place...~3,629,093~1~13~394~https://www.youtube.com/watch?v=3Dsl7JDDz2It8
The biggest bat cave: Battambang~2,079,868~1~13~394~https://www.youtube.com/watch?v=3DiX4rRO9E8hU
Traveling on the famous BAMBOO TRAIN in Cambodia =F0=9F=9A=82=F0=9F=87=B0=F0=9F=87=AD~3,441,842~1~13~394~https://www.youtube.com/watch?v=3Dzt840LpGuVw
20,000 people died here... | Cambodia~2,134,744~1~13~394~https://www.youtube.com/watch?v=3Dy7lhUaPKN1U
Learning martial arts in Asia | BOKATOR =F0=9F=A5=8B=F0=9F=A5=8A~931,884~1~13~394~https://www.youtube.com/watch?v=3D10-YXfCGIiU
Trying street food in CAMBODIA : It made an impact on me! =F0=9F=87=B0=F0=9F=87=AD~7,230,218~1~13~394~https://www.youtube.com/watch?v=3D_GiJ6ZTDVbc
THEY ARE FORBIDDEN TO LIVE ON EARTH (so they live in the water) : Cambodia =F0=9F=87=B0=F0=9F=87=AD~4,035,907~1~13~394~https://www.youtube.com/watch?v=3DQXA3G79q0WE
TOO MUCH CHAOS : Cambodia: an interesting Asian country =F0=9F=87=B0=F0=9F=87=AD~8,339,816~1~13~394~https://www.youtube.com/watch?v=3DzDuYaqQTEW4
The BEST first class of all time? KOREAN AIR =E2=9C=88=EF=B8=8F=F0=9F=87=B0=F0=9F=87=B7~7,019,352~1~13~394~https://www.youtube.com/watch?v=3DqNpdpmKVRik
The selfies town | Honduras =F0=9F=93=B8=F0=9F=87=AD=F0=9F=87=B3~1,826,136~1~13~394~https://www.youtube.com/watch?v=3DsT9_JLNJKuY
I FILLED MY THIRD PASSPORT 100% | Passport Tag Full =E2=9C=88=EF=B8=8F~1,623,195~1~13~394~https://www.youtube.com/watch?v=3DCo6hbOr71DA
Trying street food in SPAIN | The land of ham =F0=9F=A5=A9=F0=9F=87=AA=F0=9F=87=B8~8,734,098~1~13~394~https://www.youtube.com/watch?v=3DLgkFDohGy4E
What a beautiful town! SEVILLA =F0=9F=87=AA=F0=9F=87=B8~2,543,996~1~13~394~https://www.youtube.com/watch?v=3DI0v9zjvoPBg
This is how you live a soccer match in SPAIN | El Gran Derbi: great experience! =F0=9F=87=AA=F0=9F=87=B8=E2=9A=BD=EF=B8=8F~4,840,027~1~13~394~https://www.youtube.com/watch?v=3DykcXHcYk01Q
SEVILLE: A beautiful city in Spain =F0=9F=87=AA=F0=9F=87=B8~2,149,257~1~13~394~https://www.youtube.com/watch?v=3DjGDKtc8jMRE
The best theme park in SPAIN =F0=9F=8E=A2 =F0=9F=8E=A1 =F0=9F=8E=A1 | Port Aventura~2,704,790~1~13~394~https://www.youtube.com/watch?v=3DHOHTNRylHUM
Trying street food in IRAQ | Meat at all hours? =F0=9F=87=AE=F0=9F=87=B6=F0=9F=A7=86~9,837,189~1~13~394~https://www.youtube.com/watch?v=3D-RfuQUN0hsg
BABYLONIA: The legendary city was here =F0=9F=8F=9B IRAQ =F0=9F=8F=9B~4,003,679~1~13~394~https://www.youtube.com/watch?v=3Dp6NwQy0QQ2k
From animals to passports: Iraq's largest pirate market | SADR CITY =F0=9F=87=AE=F0=9F=87=B6~8,568,327~1~13~394~https://www.youtube.com/watch?v=3DzbvuJjjJiFo
THIS MAN HAS THREE WIVES | Iraq =F0=9F=87=AE=F0=9F=87=B6~2,532,479~1~13~394~https://www.youtube.com/watch?v=3DF4uQ1fFQ0kY
This is what I saw in Iraq's most war-torn city: MOSUL~7,792,381~1~13~394~https://www.youtube.com/watch?v=3DD8MZL-wXbm0
This is what the FAKE Starbucks in Iraq look like | How BAD are they? =E2=98=95=EF=B8=8F~5,242,415~1~13~394~https://www.youtube.com/watch?v=3DkMHRq5ctHtc
The World's biggest Cemetery: 6 MILLION BODIES | Najaf, Iraq =F0=9F=AA=A6=F0=9F=87=AE=F0=9F=87=B6~3,058,857~1~13~394~https://www.youtube.com/watch?v=3DPQsVSpgHbcs
What happens if you take a picture with a policeman in IRAQ? =F0=9F=91=AE=F0=9F=8F=BD=E2=80=8D=E2=99=82=EF=B8=8F=F0=9F=87=AE=F0=9F=87=B6 | Ur Imam Ali~4,547,600~1~13~394~https://www.youtube.com/watch?v=3DiPQqylJIEAk
The &quot;most dangerous&quot; country: the reality of visiting IRAQ =F0=9F=87=AE=F0=9F=87=B6~4,083,645~1~13~394~https://www.youtube.com/watch?v=3D9n1y4RDGW2s
Which FIRST CLASS is better: Aeromexico vs Turkish =F0=9F=9B=A9~4,249,657~1~13~394~https://www.youtube.com/watch?v=3Dyg6JiPzuOVw
Which is the BEST fast food at OXXO?~10,228,093~1~13~394~https://www.youtube.com/watch?v=3DLzDIzNYg0pU
I visited the &quot;MOST DANGEROUS&quot; neighborhood in Honduras.~4,209,789~1~13~394~https://www.youtube.com/watch?v=3DWa8BtQKa2hY
They say that a GIANT lives in this cave...~2,373,733~1~13~394~https://www.youtube.com/watch?v=3DSP8h7GsuJTA
Trying street food in HONDURAS =F0=9F=87=AD=F0=9F=87=B3=F0=9F=8D=97~7,636,786~1~13~394~https://www.youtube.com/watch?v=3DG4VZsu3x1hw
The HAPPIEST city I have ever visited! Comayagua, Honduras =F0=9F=87=AD=F0=9F=87=B3~1,962,388~1~13~394~https://www.youtube.com/watch?v=3D_5b_q4Wb6YY
The GARIFUNAS: Africans in Latin America : Honduras 3 =F0=9F=87=AD=F0=9F=87=B3~3,200,447~1~13~394~https://www.youtube.com/watch?v=3D4t5-uTpnyXg
BE CAREFUL WHAT YOU TOUCH! =F0=9F=98=B1 Honduras: Cayos Cochinos and Pico Bonito =F0=9F=87=AD=F0=9F=87=B3~3,620,460~1~13~394~https://www.youtube.com/watch?v=3DQw8sqjfFjeM
WE ARRIVED TO HONDURAS =F0=9F=87=AD=F0=9F=87=B3 Beaches, beverages and bananas =F0=9F=8D=8C=F0=9F=8F=9D~5,702,364~1~13~394~https://www.youtube.com/watch?v=3DElAOzsgzi0c
This is what it's like to fly in your own private plane!~4,630,921~1~13~394~https://www.youtube.com/watch?v=3D6ZNRFsiVQTo
The ALIEN McDonald's, ghost towns and the house of Breaking Bad | New Mexico =F0=9F=87=BA=F0=9F=87=B8=F0=9F=91=BD=F0=9F=8D=94~3,262,279~1~13~394~https://www.youtube.com/watch?v=3DIhl-HxTrILI
ROSWELL: The City of ALIENS and UFOs =F0=9F=91=BD~3,233,823~1~13~394~https://www.youtube.com/watch?v=3DTuxrnurFtcU
SANTA CLAUS VILLAGE: The most famous Christmas park in the world | Finland =F0=9F=8E=84=F0=9F=87=AB=F0=9F=87=AE~2,642,982~1~13~394~https://www.youtube.com/watch?v=3Dt1D4fi_hUWE
What is it like to sleep in an igloo in the snow under the stars?~4,134,983~1~13~394~https://www.youtube.com/watch?v=3DvLtGpINyeBo
Tasting street food in FINLAND | They eat bear! =F0=9F=87=AB=F0=9F=87=AE=F0=9F=90=BB~3,934,394~1~13~394~https://www.youtube.com/watch?v=3DxKE7pydQ-Xo
I visited Santa's REAL house at the NORTH POLE =F0=9F=8E=85=F0=9F=8E=84~3,350,429~1~13~394~https://www.youtube.com/watch?v=3DJNN0SQ7ZJ1Y
I traveled to the NORTH POLE | What is the cold life like? =F0=9F=A7=8A=F0=9F=A5=B6~17,979,894~1~13~394~https://www.youtube.com/watch?v=3DuUPENpBbE5s
Training with the little people soccer team =E2=9A=BD=EF=B8=8F=F0=9F=8F=86~1,459,618~1~13~394~https://www.youtube.com/watch?v=3D2ZxLARQ81qU
What is it like to work at HUAWEI? | How to get your products from the HUAWEI Store =F0=9F=93=B1~1,758,409~1~13~394~https://www.youtube.com/watch?v=3DKrRsLlWxCo0
I bought the new expensive Apple earbuds: Are they worth it | AirPods 3 =F0=9F=8E=A7~1,784,670~1~13~394~https://www.youtube.com/watch?v=3DGsUHBKL-Xcw
What is it like to work in the warehouse of an online store? | EPICLAND~1,331,588~1~13~394~https://www.youtube.com/watch?v=3DbTp9gEHXwZc
Why do they say this is THE BEST country in the world - Finland?~17,695,096~1~13~394~https://www.youtube.com/watch?v=3DnGvd0HETDWI
I slept in the famous JAIL HOTEL in Slovenia.~1,729,845~1~13~394~https://www.youtube.com/watch?v=3DPqvv-U6sMbw
Tasting street food in SLOVENIA | Love for sausages =F0=9F=87=B8=F0=9F=87=AE=F0=9F=8C=AD~4,977,073~1~13~394~https://www.youtube.com/watch?v=3DmnHqS2YXmW8
I visited the city that HAS NO CARS | Ljubljana =F0=9F=9A=98=F0=9F=87=B8=F0=9F=87=AE~8,317,278~1~13~394~https://www.youtube.com/watch?v=3DS8qErEETmnI
A country of castles, caves and dragons | SLOVENIA =F0=9F=87=B8=F0=9F=87=AE=F0=9F=8F=B0~3,835,170~1~13~394~https://www.youtube.com/watch?v=3DklfV-iv-GBM
How to take a flight | VERY basic tutorial for beginners =E2=9C=88=EF=B8=8F~2,739,917~1~13~394~https://www.youtube.com/watch?v=3DMdJHfS57BII
What are the BEST hot chips in the store? =F0=9F=8C=B6=F0=9F=A5=B5~15,928,190~1~13~394~https://www.youtube.com/watch?v=3DVbJMWqfeX1E
Tasting street food in BELIZE | A fascinating mix =F0=9F=87=A7=F0=9F=87=BF=F0=9F=AB=94~5,485,693~1~13~394~https://www.youtube.com/watch?v=3DIAXwijyL5og
The closest neighborhood to AFRICA in AMERICA | Belize City =F0=9F=87=A7=F0=9F=87=BF~2,423,352~1~13~394~https://www.youtube.com/watch?v=3Dx9NxEmAkDE4
The nearest country that I NEVER thought I'd see... BELIZE =F0=9F=87=A7=F0=9F=87=BF~6,407,318~1~13~394~https://www.youtube.com/watch?v=3DzEJLGtSGWhQ
Asia's most addictive and cheapest substance: What is it made of?~3,230,382~1~13~394~https://www.youtube.com/watch?v=3DiLOLZw0zhPY
The STRANGEST sport in the world | Kok Boru =F0=9F=90=8E~952,249~1~13~394~https://www.youtube.com/watch?v=3D3z3_Bp8b3fM
I did extreme camping at -20=C2=B0 C in snowy Nevada Mountain, Kyrgyzstan.~2,936,043~1~13~394~https://www.youtube.com/watch?v=3DzlGKeSvUCWA
Tasting street food in the snow: KYRGYZSTAN | The weirdest of them all? =F0=9F=8D=96=E2=9D=84=EF=B8=8F~6,386,684~1~13~394~https://www.youtube.com/watch?v=3DgP6p1wrYrrY
This place makes the BEST burgers in the world =F0=9F=8D=94.~4,764,871~1~13~394~https://www.youtube.com/watch?v=3D8o55Yslysfk
Strange traditions of a Central Asian family | KYRGYZSTAN =F0=9F=87=B0=F0=9F=87=AC=F0=9F=90=B4~2,570,705~1~13~394~https://www.youtube.com/watch?v=3DoGxbNbpBdDg
Eagle hunters: an ancient tradition | KYRGYZSTAN =F0=9F=87=B0=F0=9F=87=AC=F0=9F=A6=85~2,379,037~1~13~394~https://www.youtube.com/watch?v=3DhIEhqJGguzc
KYRGYZSTAN: The country that shocked me =F0=9F=87=B0=F0=9F=87=AC~5,099,063~1~13~394~https://www.youtube.com/watch?v=3D9nxaV2zPoNw
I travel to the country where the dart falls on a map =F0=9F=8E=AF=F0=9F=97=BA.~5,768,876~1~13~394~https://www.youtube.com/watch?v=3D5YZLhagwGD8
Visiting the Apple FAKE stores in Venezuela =F0=9F=93=B1~8,289,295~2~25~759~https://www.youtube.com/watch?v=3D_RVdad5aMFg
What's the BEST microwave soup: CHEAP vs EXPENSIVE =F0=9F=8D=9C~11,447,343~2~25~759~https://www.youtube.com/watch?v=3D8qIslyis6EU
MY ENTIRE PHONE COLLECTION | Why do I have so many? =F0=9F=93=B1~6,975,137~2~25~759~https://www.youtube.com/watch?v=3DPIwJ6fQ1jQo
Flying on THE WORST airline in the world: VENEZOLANA AIRLINES =F0=9F=87=BB=F0=9F=87=AA=E2=9C=88=EF=B8=8F~8,581,610~2~25~759~https://www.youtube.com/watch?v=3Df2d8-nRJRCc
Samsung phones that bend | Why are they SO EXPENSIVE? Galaxy Z Flip 3 and Fold 3~2,675,463~2~25~759~https://www.youtube.com/watch?v=3DYCSbDkIpG7s
My experience of being detained by the police in Venezuela...~8,531,297~2~25~759~https://www.youtube.com/watch?v=3DTkFNBJLzzn4
Mc Donald's Venezuela: The MOST EXPENSIVE in the world : Why does it cost SO MUCH? =F0=9F=8D=94=F0=9F=92=B0~15,542,217~2~25~759~https://www.youtube.com/watch?v=3DOdITLHtLNCY
I bought the iPhone 13 Pro: Is it worth spending THAT much =F0=9F=93=B1=F0=9F=92=B0.~5,969,045~2~25~759~https://www.youtube.com/watch?v=3Deu3EaVM7aMk
Facebook's expensive glasses with camera and headphones | Are they worth it? =F0=9F=91=93~3,173,503~2~25~759~https://www.youtube.com/watch?v=3Dc080bhXRGio
This is Hugo Chavez's tomb in Venezuela~1,511,662~2~25~759~https://www.youtube.com/watch?v=3DJTnhrIyN4dA
This place makes the BEST RAMEN in the world =F0=9F=8D=9C=F0=9F=8C=8E.~4,247,090~2~25~759~https://www.youtube.com/watch?v=3DhOO-Lr39tkQ
The iPhone 13 is here: will it be worth spending THAT much =F0=9F=93=B1~4,572,933~2~25~759~https://www.youtube.com/watch?v=3D3JaNsLtyae8
THE PLACE WITH THE MOST LIGHTNING IN THE WORLD | Catatumbo =E2=9A=A1=EF=B8=8F=F0=9F=8C=A9~7,129,136~2~25~759~https://www.youtube.com/watch?v=3Dl_BsnM1Lgog
I BOUGHT A HOUSE IN VENEZUELA =F0=9F=87=BB=F0=9F=87=AA=F0=9F=8F=A0~8,488,906~2~25~759~https://www.youtube.com/watch?v=3Dcx2vd64cA-I
Exploring Venezuela's &quot;most dangerous&quot; neighborhood: PETARE~6,638,254~2~25~759~https://www.youtube.com/watch?v=3DZk-40k4e6I4
SpongeBob's suite at NICKELODEON's hotel =F0=9F=8D=8D=F0=9F=A7=BD | Is it worth it?~15,283,177~2~25~759~https://www.youtube.com/watch?v=3D44WAr6rEfIU
The religion of Venezuela's crooks and criminals : Corte Malandra~2,744,097~2~25~759~https://www.youtube.com/watch?v=3DxfHNqH2Tbo8
Changing $1 to VENEZOLAN MONEY | Venezuela's complicated economy~5,284,862~2~25~759~https://www.youtube.com/watch?v=3Drf-ZPSZ1kWA
Tasting street food in VENEZUELA =F0=9F=87=BB=F0=9F=87=AA=F0=9F=AB=93~21,969,576~2~25~759~https://www.youtube.com/watch?v=3DVbvkT2Y-00Y
I returned to Venezuela 4 YEARS LATER: what has improved and worsened?~7,919,210~2~25~759~https://www.youtube.com/watch?v=3DUDu7sowIrzE
Compr=C3=A9 un Apple Watch PIRATA por $10 | =C2=BFQu=C3=A9 TAN MALO es? =E2=8F=B0~5,330,598~2~25~759~https://www.youtube.com/watch?v=3DIP5DvaqqScc
How do they label your favorite products to sell more?~1,679,545~2~25~759~https://www.youtube.com/watch?v=3DkaYZJAK0788
The $15 headphones that CHARGE YOUR PHONE =F0=9F=98=B1=F0=9F=93=B1~2,276,554~2~25~759~https://www.youtube.com/watch?v=3DrsqLyeOCOq4
The BIGGEST NINTENDO store: the gamers' paradise =F0=9F=8E=AE~2,479,074~2~25~759~https://www.youtube.com/watch?v=3D3jxYeMCCdCI
Amazon's futuristic stores where you DON'T PAY for things =F0=9F=92=B5 | Amazon Go.~11,850,159~2~25~759~https://www.youtube.com/watch?v=3D3vpupYmG1cQ
Testing $20 fried crocodile=F0=9F=90=8A=F0=9F=87=BA=F0=9F=87=B8~7,784,339~2~25~759~https://www.youtube.com/watch?v=3DBqzlbeqBXHQ
I visited the world's largest and most expensive VIP Starbucks in the world~2,819,660~2~25~759~https://www.youtube.com/watch?v=3DQ6OssCt5lwM
I bought an APPLE Watch: USEFUL or USELESS? | Apple Watch Series 6~3,147,011~2~25~759~https://www.youtube.com/watch?v=3DTHOjOfDsdQY
The machine that dispenses the most delicious cakes and desserts =F0=9F=8D=B0=F0=9F=A7=81~4,426,063~2~25~759~https://www.youtube.com/watch?v=3DM3dda6NyNqI
How is glass made? | IMPACTFUL PROCESS~3,250,369~2~25~759~https://www.youtube.com/watch?v=3DJsuTXXB3Q_s
How dirty is your water? | TikTok Hacks #9~4,050,984~2~25~759~https://www.youtube.com/watch?v=3DTjPYQW7TWi0
I bought the SMART phone from GOOGLE | How awesome is it =F0=9F=98=B1=F0=9F=93=B1~2,480,550~2~25~759~https://www.youtube.com/watch?v=3DYYpMZfp6xpY
The CHEAPEST country I've ever visited | Uzbekistan =F0=9F=8C=8E=F0=9F=92=B0~12,389,602~2~25~759~https://www.youtube.com/watch?v=3Dy2P203hAAy8
The CHEAPEST phone that PROMISES MOST | Xiaomi Poco M3~4,024,652~2~25~759~https://www.youtube.com/watch?v=3Dzid4jHsYnm0
Tasting street food in UZBEKISTAN =F0=9F=87=BA=F0=9F=87=BF=F0=9F=8D=9A~6,632,020~2~25~759~https://www.youtube.com/watch?v=3DvRuLmw5lKy8
I turned MY HOME into a BAR =F0=9F=8F=A0=F0=9F=8D=BA~2,682,862~2~25~759~https://www.youtube.com/watch?v=3DHtasx-U-UOY
Visiting a supermarket in a VERY RARE country : Uzbekistan =F0=9F=87=BA=F0=9F=87=BF =F0=9F=9B=92~3,387,399~2~25~759~https://www.youtube.com/watch?v=3DCZXts3H-f9c
Don't forget to bring your own TOILET PAPER! Uzbekistan =F0=9F=A7=BB~3,444,877~2~25~759~https://www.youtube.com/watch?v=3D1pIzdUpLIp8
I ate horse at a wedding on the other side of the world | UZBEKISTAN #1 =F0=9F=87=BA=F0=9F=87=BF~1,997,951~2~25~759~https://www.youtube.com/watch?v=3D2bWUh4KsEwk
Trying street food in SERBIA =F0=9F=87=B7=F0=9F=87=B8=F0=9F=8D=9B~6,745,984~2~25~759~https://www.youtube.com/watch?v=3DRmVqJSggi1o
I came to this crazy country BY ACCIDENT : Serbia =F0=9F=87=B7=F0=9F=87=B8~3,612,696~2~25~759~https://www.youtube.com/watch?v=3DkyVVcLyld0w
I bought Apple's most expensive earbuds: Are they worth it | AirPods Max =F0=9F=8E=A7=F0=9F=92=B0~4,877,753~2~25~759~https://www.youtube.com/watch?v=3DxHfZo_vvpgo
I was banned from entering this country and now I'm stuck =F0=9F=98=A2.~4,946,881~2~25~759~https://www.youtube.com/watch?v=3D36ovfLJaZ1k
How do you make a tiger blanket? *IMPRESSIVE PROCESS* =F0=9F=98=B1 =F0=9F=90=AF~2,913,421~2~25~759~https://www.youtube.com/watch?v=3D7ATApkVw9-M
I visited the biggest M&amp;M's store IN THE WORLD =F0=9F=8D=AC It has 4 floors! =F0=9F=98=B1=F0=9F=8D=AB~5,786,084~2~25~759~https://www.youtube.com/watch?v=3DKhDzeJOMX0s
This man became a millionaire by selling flowers =F0=9F=92=90 | ANTIOQUIA =F0=9F=8C=B7~1,752,655~2~25~759~https://www.youtube.com/watch?v=3DgyTaAn0hPaM
Exploring Colombia's LARGEST market =F0=9F=98=B1=F0=9F=87=A8=F0=9F=87=B4~5,004,602~2~25~759~https://www.youtube.com/watch?v=3D1CJo1GvIhGM
This is PABLO ESCOBAR's neighborhood: do they idolize the character? Colombia =F0=9F=87=A8=F0=9F=87=B4~6,027,676~2~25~759~https://www.youtube.com/watch?v=3DJlJ_XhQZuu0
Medell=C3=ADn: the MOST BEAUTIFUL city in Colombia =F0=9F=98=8D =F0=9F=87=A8=F0=9F=87=B4~4,598,578~2~25~759~https://www.youtube.com/watch?v=3D5ZoYy2ZtCCU
La Comuna 13: The dangerous neighborhood that was transformed with art | MEDELL=C3=8DN =F0=9F=87=A8=F0=9F=87=B4~3,424,054~2~25~759~https://www.youtube.com/watch?v=3DSt9kxRrx2mk
The town that was lost under the water | Guatap=C3=A9, COLOMBIA =F0=9F=AA=A8=F0=9F=87=A8=F0=9F=87=B4~7,699,576~2~25~759~https://www.youtube.com/watch?v=3DIIptopKfoek
Colombia's MOST JOYFUL city | Cali city tour =F0=9F=87=A8=F0=9F=87=B4=E2=9D=A4=EF=B8=8F~2,846,166~2~25~759~https://www.youtube.com/watch?v=3DA0rrZgNWwQE
I entered SILO=C3=89: Colombia's &quot;most dangerous&quot; neighborhood =F0=9F=87=A8=F0=9F=87=B4~9,354,218~2~25~759~https://www.youtube.com/watch?v=3D4dvsQtaZ2PU
Trying street food in COLOMBIA =F0=9F=87=A8=F0=9F=87=B4 | The real arepa? =F0=9F=AB=93=F0=9F=98=8B~21,388,232~2~25~759~https://www.youtube.com/watch?v=3DklsmySdNbiU
I visited Colombia at its MOST CRITICAL moment - What's going on? =F0=9F=87=A8=F0=9F=87=B4~3,571,128~2~25~759~https://www.youtube.com/watch?v=3Dzfaw-KX4E-g
PIRACY vs ORIGINAL brand bottles | Do they taste different? =F0=9F=A5=83~2,581,128~2~25~759~https://www.youtube.com/watch?v=3DhdikjPfKXCw
Tasting the MOST DISGUSTING sodas | Flavor wings, tacos, dirt.... =F0=9F=98=B1=F0=9F=A4=A2~3,977,981~2~25~759~https://www.youtube.com/watch?v=3D4ddJaz0sPN8
Grab EVERYTHING YOU CAN in 1 minute and I'LL PAY! =F0=9F=9B=92 =F0=9F=A4=91~6,876,816~2~25~759~https://www.youtube.com/watch?v=3DoamRlhThucM
I visited the alien supermarket of &quot;AREA 51&quot; viral in networks =F0=9F=98=B1=F0=9F=91=BD | OMEGA MART =F0=9F=9B=92~4,874,662~2~25~759~https://www.youtube.com/watch?v=3D5zZZxzSuHgA
I visited the BIGGEST Coca-Cola store in the world =F0=9F=98=B1 It has three floors! =F0=9F=A5=A4=F0=9F=92=B0~10,629,867~2~25~759~https://www.youtube.com/watch?v=3DR9BbZ38YmWA
