title~views~uptime_y~uptime_m~uptime_d~link
Nastya y colecci=C3=B3n de nuevas historias de Halloween. Halloween 2023~136,006~0~2~52~https://www.youtube.com/watch?v=3DUPHQ2leuqfM
Nastya y su ejemplo de buen comportamiento para los ni=C3=B1os.~193,846~0~2~55~https://www.youtube.com/watch?v=3DI2sB3aq8fS4
Nastya en un pa=C3=ADs de ensue=C3=B1o. Nuevas historias de Nastya y pap=C3=A1 en espa=C3=B1ol~316,087~0~2~58~https://www.youtube.com/watch?v=3D5in4t346bl8
Nastya y Evelyn se ayudan mutuamente como mejores amigas. Historias sobre la amistad en espa=C3=B1ol~291,273~0~2~61~https://www.youtube.com/watch?v=3D0zCiaIQX-oo
Nastya comienza su propio negocio y otras historias divertidas para ni=C3=B1os en una nueva colecci=C3=B3n~283,956~0~2~64~https://www.youtube.com/watch?v=3DtedDNMoS1nw
Nastya 24 Hours Baby Challenge y otras historias divertidas~520,044~0~2~64~https://www.youtube.com/watch?v=3D4SzSiLMhcns
Nastya aprende sobre los 5 sentidos y otras historias escolares para ni=C3=B1os.~525,031~0~2~64~https://www.youtube.com/watch?v=3DVyuw3j67bno
Nastya juega juegos divertidos con los ni=C3=B1os. Desaf=C3=ADo para ni=C3=B1os de Nastya~560,384~0~2~71~https://www.youtube.com/watch?v=3Do06ExpXm4NM
Nastya y su colecci=C3=B3n de videos divertidos con pap=C3=A1~699,776~1~14~415~https://www.youtube.com/watch?v=3DIO4aUvnN1c0
Nastya y pap=C3=A1 fingen jugar en un parque y la historia de Halloween~1,345,079~1~14~415~https://www.youtube.com/watch?v=3DdUuw4vYDk5w
Nastya aprende a decir la hora en Halloween | Colecci=C3=B3n de videos para ni=C3=B1os~810,256~1~14~415~https://www.youtube.com/watch?v=3DyIcbg-qd6-c
Nastya y una historia sobre la amistad y ayudar a los ancianos~696,376~1~14~415~https://www.youtube.com/watch?v=3DVJ0fNNOGRoE
Nastya y pap=C3=A1 componen sus propias historias divertidas de ficci=C3=B3n y visitan un zool=C3=B3gico~856,030~1~14~415~https://www.youtube.com/watch?v=3DmoC3d6VPVwY
Nastya respeta la cultura y las tradiciones de sus amigas~4,867,622~1~14~415~https://www.youtube.com/watch?v=3DVLWxUWN09A0
Nastya elige su pasatiempo favorito~871,315~1~14~415~https://www.youtube.com/watch?v=3DkXyBhWME8EA
Nastya y pap=C3=A1 alimentan a los animales de la granja y decoran una nueva habitaci=C3=B3n~997,994~1~14~415~https://www.youtube.com/watch?v=3DdWud_7DkgEs
Nastya y pap=C3=A1 juegan y aprenden sobre insectos, colecci=C3=B3n de videos para ni=C3=B1os~1,057,453~1~14~415~https://www.youtube.com/watch?v=3D2EAexWVbCjk
Nastya y Maggie juegan con una varita m=C3=A1gica, colecci=C3=B3n de videos para ni=C3=B1os~1,637,618~1~14~415~https://www.youtube.com/watch?v=3D_Ef2mXoto7o
Nastya se convierte en una estrella de rock y bloguera, Colecci=C3=B3n de videos para ni=C3=B1os~1,103,683~1~14~415~https://www.youtube.com/watch?v=3DrT-87u_XMqE
Nastya aprende colores y juega un desaf=C3=ADo misterioso, colecci=C3=B3n de videos para ni=C3=B1os~1,573,836~1~14~415~https://www.youtube.com/watch?v=3DT3x9OhU7QFI
Nastya y pap=C3=A1 recopilaci=C3=B3n de la mejor colecci=C3=B3n de videos divertidos del a=C3=B1o~28,637,442~1~14~415~https://www.youtube.com/watch?v=3D08ao_-bzgQg
Nastya y sus amigos ayudan a un padre cansado~19,753,276~1~14~415~https://www.youtube.com/watch?v=3D8FNd8g6biVw
Nastya y pap=C3=A1 van a una f=C3=A1brica de limo! colecci=C3=B3n de videos para ni=C3=B1os~738,418~1~14~415~https://www.youtube.com/watch?v=3DiCMjGGIO_ik
Nastya organiz=C3=B3 un sal=C3=B3n de belleza para ayudar a un amigo, Colecci=C3=B3n de videos para ni=C3=B1os~1,228,303~1~14~415~https://www.youtube.com/watch?v=3DgYErpHVZhUI
Nastya est=C3=A1 aprendiendo a decir la hora y celebrar Diwali, Colecci=C3=B3n de videos para ni=C3=B1os~1,088,990~1~14~415~https://www.youtube.com/watch?v=3DNcYqzslFunk
Nastya sigue todas las reglas de estar solo en casa, colecci=C3=B3n de videos para ni=C3=B1os~2,240,144~1~14~415~https://www.youtube.com/watch?v=3DbOUW488YGJg
Nastya aprende patinaje art=C3=ADstico y nuevos juegos de deportes de invierno~760,110~1~14~415~https://www.youtube.com/watch?v=3DLXxZdWugc9c
Nastya le ense=C3=B1a a su amiga de la escuela a cuidar su apariencia~493,545~1~14~415~https://www.youtube.com/watch?v=3DJF8BdAVFsS4
Nastya y Evelyn finge jugar con mu=C3=B1ecas, colecci=C3=B3n de videos para ni=C3=B1os~533,134~1~14~415~https://www.youtube.com/watch?v=3DARmBtIZ_gFU
Nastya nueva sala para Halloween, Colecci=C3=B3n de videos para ni=C3=B1os~1,281,120~1~14~415~https://www.youtube.com/watch?v=3D5Iik6wn1YuI
Nastya aprende diferentes idiomas y descubre lo inteligente que es! colecci=C3=B3n de videos para ni=C3=B1os~1,281,464~1~14~415~https://www.youtube.com/watch?v=3DF-vKuouDW4Y
Nastya y Maggie cantan y bailan y se convierten en ni=C3=B1eras, serie de videos para ni=C3=B1os~1,484,634~1~14~415~https://www.youtube.com/watch?v=3DebIZYBFGbes
Nastya aprende la regla de ir a la escuela, colecci=C3=B3n de videos para ni=C3=B1os~576,999~1~14~415~https://www.youtube.com/watch?v=3DQlVD4sbs2Xs
Nastya demuestra que el conocimiento en la escuela es lo m=C3=A1s importante~72,689,245~1~14~415~https://www.youtube.com/watch?v=3Dwj01vEOfvZQ
Nastya visita un parque infantil al aire libre! colecci=C3=B3n de videos para ni=C3=B1os~926,044~1~14~415~https://www.youtube.com/watch?v=3DXqGHFUJB4A0
Nastya y pap=C3=A1 encontraron un beb=C3=A9 en una tienda de juguetes, serie de videos para ni=C3=B1os~1,312,441~1~14~415~https://www.youtube.com/watch?v=3D8IWREx6PPcs
Nastya y la historia de su amistad con Martin en la escuela~15,931,877~1~14~415~https://www.youtube.com/watch?v=3DQUw_UnST1Co
Nastya y sus divertidas actividades y tours! colecci=C3=B3n de cuentos~1,022,824~1~14~415~https://www.youtube.com/watch?v=3DNmMc7pAHXb0
Nastya hace una lista de tareas para el d=C3=ADa! colecci=C3=B3n de videos para ni=C3=B1os~1,477,145~1~14~415~https://www.youtube.com/watch?v=3DVV6Xcxi2Ta0
Nastya aprende los alfabetos de verano y el desaf=C3=ADo de baile vegetal~888,566~1~14~415~https://www.youtube.com/watch?v=3DtnQm1mRZ_BY
Nastya recibe lecciones de dibujo de un famoso artista contempor=C3=A1neo~1,614,447~1~14~415~https://www.youtube.com/watch?v=3DgRub7kcT6_M
Nastya finge ser polic=C3=ADa y ayuda a un hombre sin hogar, serie de videos para ni=C3=B1os~993,873~1~14~415~https://www.youtube.com/watch?v=3DG63BQ4mrVew
Nastya aprende las reglas de viaje y visita a Rusia, colecci=C3=B3n de videos para ni=C3=B1os~1,167,921~1~14~415~https://www.youtube.com/watch?v=3Dywptks3S030
Pap=C3=A1 ayuda a Nastya a tener confianza en s=C3=AD misma~4,318,314~1~14~415~https://www.youtube.com/watch?v=3DqP1GDAg4Ucs
Nastya monta en bicicleta y aprende sobre los animales, serie de videos para ni=C3=B1os~1,024,360~1~14~415~https://www.youtube.com/watch?v=3DoX6fV6kixOs
Nastya y su fiesta de cumplea=C3=B1os 8 a=C3=B1os~6,343,600~1~14~415~https://www.youtube.com/watch?v=3DERfTlJ53e30
Aprende y juega con Nastya! colecci=C3=B3n de videos para ni=C3=B1os~906,581~1~14~415~https://www.youtube.com/watch?v=3DBxPxR8xA2ZU
Nastya y sus amigos juegan con una varita m=C3=A1gica y una ducha m=C3=A1gica.~906,493~1~14~415~https://www.youtube.com/watch?v=3D-ztm8ku2nBY
Nastya gan=C3=B3 dinero ayudando a su padre y compr=C3=B3 un boleto para el parque de diversiones.~1,541,837~1~14~415~https://www.youtube.com/watch?v=3DEdChF6_fMZI
Nastya y pap=C3=A1 polic=C3=ADa serie de persecuci=C3=B3n para ni=C3=B1os, divertida colecci=C3=B3n de videos~1,172,110~1~14~415~https://www.youtube.com/watch?v=3DtPe1WRKOVBk
Nastya divertidas historias escolares para ni=C3=B1os~718,062~1~14~415~https://www.youtube.com/watch?v=3DtQKgOx6ktak
Nastya y su amiga se hacen bromas y visitan una isla piggy~1,185,802~1~14~415~https://www.youtube.com/watch?v=3Dgu5OPHAm3x8
Nastya y pap=C3=A1 Actividades de interior y exterior, colecci=C3=B3n de videos para ni=C3=B1os~1,284,788~1~14~415~https://www.youtube.com/watch?v=3DoY2PZdb79VU
Nastya aprende a dormir sola~1,931,639~1~14~415~https://www.youtube.com/watch?v=3DJFBllHrV0x0
Nastya y pap=C3=A1 visitaron el museo y jugaron con juguetes brillantes~874,240~1~14~415~https://www.youtube.com/watch?v=3DxhdFszF4JdE
Nastya y Papa y una colecci=C3=B3n de cuentos de gatos para ni=C3=B1os~3,222,718~1~14~415~https://www.youtube.com/watch?v=3D_IlhZ4iFPXM
Nastya aprende reglas de seguridad para ni=C3=B1os y c=C3=B3mo hacer un limo~967,791~1~14~415~https://www.youtube.com/watch?v=3DnpSf9Jh1hgs
Nastya y su experiencia de estar sola en casa~541,699~1~14~415~https://www.youtube.com/watch?v=3Dx0qq3zNhXco
Nastya y pap=C3=A1 desaf=C3=ADo caliente vs fr=C3=ADo, serie para ni=C3=B1os~2,216,101~1~14~415~https://www.youtube.com/watch?v=3D0u6Q9js_Yrs
Nastya y su Calendario de Adviento de Navidad~9,813,043~1~14~415~https://www.youtube.com/watch?v=3D5T0eoys2bqI
Nastya cuenta como graba sus videos y excursi=C3=B3n al estudio de Hollywood~887,799~1~14~415~https://www.youtube.com/watch?v=3DoDkLIl2nnfk
Nastya y su historia escolar sobre la diversidad~2,389,304~1~14~415~https://www.youtube.com/watch?v=3DOwEb9GwZ4yY
Nastya y pap=C3=A1 van a la fiesta de cumplea=C3=B1os de Evelyn, serie de videos para ni=C3=B1os~897,279~1~14~415~https://www.youtube.com/watch?v=3DuM3FOQRfXYw
Nastya y pap=C3=A1 van al supermercado y cuidan al beb=C3=A9~1,120,161~1~14~415~https://www.youtube.com/watch?v=3DIRd38-3OKgg
Nastya y pap=C3=A1 hacen cupcakes, historias de Halloween para ni=C3=B1os~819,998~1~14~415~https://www.youtube.com/watch?v=3DkdAF80bYsCk
Nastya y pap=C3=A1 juegan juntos en el parque de diversiones! Colecci=C3=B3n de videos para ni=C3=B1os~788,348~1~14~415~https://www.youtube.com/watch?v=3DvJlL9Sv96tc
Nastya y desaf=C3=ADo 24 horas en una tienda de campa=C3=B1a sin peleas~1,525,459~1~14~415~https://www.youtube.com/watch?v=3D70mnat3eVrE
Nastya y sus amigos fingen tocar una banda de rock, colecci=C3=B3n de videos para ni=C3=B1os~1,288,963~1~14~415~https://www.youtube.com/watch?v=3DHicuBd1VSls
Nastya y pap=C3=A1 exploran lugares divertidos para ni=C3=B1os en Los =C3=81ngeles~933,185~1~14~415~https://www.youtube.com/watch?v=3DyFTMr9S7ukM
Nastya y Papa y la colecci=C3=B3n de videos educativos para ni=C3=B1os~892,556~1~14~415~https://www.youtube.com/watch?v=3DkizsKGKpR_g
Nastya y pap=C3=A1 juegan con juguetes nuevos! Colecci=C3=B3n de videos para ni=C3=B1os~1,156,283~1~14~415~https://www.youtube.com/watch?v=3DK18j91MJMW8
Nastya finge jugar a un chef y tiene una enfermedad de viruela.~1,079,761~1~14~415~https://www.youtube.com/watch?v=3DSLtcEGQHRik
Nastya y pap=C3=A1 coloridas llaves y desaf=C3=ADo de limo para ni=C3=B1os~914,556~1~14~415~https://www.youtube.com/watch?v=3DFB1tvMMeUrc
Nastya va a Los =C3=81ngeles y el tour de la habitaci=C3=B3n del hotel~1,455,650~1~14~415~https://www.youtube.com/watch?v=3DmJwJqPEbWSQ
Nastya y pap=C3=A1 participan en la competencia por el mejor =C3=A1rbol de Navidad~1,075,507~1~14~415~https://www.youtube.com/watch?v=3DEQZFLxYXuTs
Nastya escribe una carta a Pap=C3=A1 Noel~2,408,846~1~14~415~https://www.youtube.com/watch?v=3DflGA3sz-j28
Nastya y pap=C3=A1 divirti=C3=A9ndose en la fiesta de limo, serie para ni=C3=B1os~1,298,331~1~14~415~https://www.youtube.com/watch?v=3DRRDPlBWBn_M
Nastya y pap=C3=A1 Desaf=C3=ADo Smoothie, divertida serie para ni=C3=B1os~1,185,543~1~14~415~https://www.youtube.com/watch?v=3DrRItIfJvAAU
Nastya y pap=C3=A1 est=C3=A1n celebrando el D=C3=ADa de Acci=C3=B3n de Gracias~967,645~1~14~415~https://www.youtube.com/watch?v=3D55bV0bePvGI
Nastya y pap=C3=A1 est=C3=A1n aprendiendo a ser responsables para no llegar tarde a la escuela.~1,762,845~1~14~415~https://www.youtube.com/watch?v=3DXIflaLHxhAU
Nastya organiz=C3=B3 un sal=C3=B3n de belleza para ayudar a una amiga~796,335~1~14~415~https://www.youtube.com/watch?v=3DfO7niF4Un10
Nastya finge ser un oficial de polic=C3=ADa, la serie de videos m=C3=A1s divertida para ni=C3=B1os~616,778~1~14~415~https://www.youtube.com/watch?v=3DJlg2osLWdYg
Nastya y pap=C3=A1 siguen las reglas de conducta en el parque.~13,181,578~1~14~415~https://www.youtube.com/watch?v=3D23TgDwe8xvU
Nastya y pap=C3=A1 fingen jugar a la polic=C3=ADa, divertida historia policial para ni=C3=B1os~1,168,643~1~14~415~https://www.youtube.com/watch?v=3D7E5gMzXikw8
Nastya y pap=C3=A1 en un viaje navide=C3=B1o para conocer a Pap=C3=A1 Noel~1,308,898~1~14~415~https://www.youtube.com/watch?v=3Dsi8Wnztac6U
Nastya decora su nueva habitaci=C3=B3n y juega con juguetes nuevos~1,012,764~1~14~415~https://www.youtube.com/watch?v=3DH1-yyC_6350
Nastya aprende a reciclar cosas, nueva serie educativa para ni=C3=B1os~1,144,276~1~14~415~https://www.youtube.com/watch?v=3DTleyn0DK6oI
Nastya y Eva participan en un concurso de moda por el mejor atuendo para fiestas~908,640~1~14~415~https://www.youtube.com/watch?v=3D_5UKfDD6FO4
Nastya y sus amigos pasteles y dulces de bricolaje~1,900,675~1~14~415~https://www.youtube.com/watch?v=3D9KjD-mlFqs8
Nastya y el cumplea=C3=B1os de su amiga Evelyn~3,187,046~1~14~415~https://www.youtube.com/watch?v=3DFj0CcDRjtWM
Nastya y pap=C3=A1 est=C3=A1n celebrando Diwali~890,773~1~14~415~https://www.youtube.com/watch?v=3DvPt3jmXqSqg
Nastya est=C3=A1 tratando de hacer amigas en la escuela~840,760~1~14~415~https://www.youtube.com/watch?v=3D_nAGS6zHF6g
Nastya y pap=C3=A1 aprenden a contar y a encontrar sorpresas~915,001~1~14~415~https://www.youtube.com/watch?v=3DJAVZSRxi4H4
Nastya record=C3=B3 ella direcci=C3=B3n y encontr=C3=B3 el camino a casa~1,012,041~1~14~415~https://www.youtube.com/watch?v=3DZ58KSajG8j8
Nastya decora Magdalenas para Hallowee~2,115,657~1~14~415~https://www.youtube.com/watch?v=3Dc7a7w9c73Yo
Nastya y su amiga aprenden a limpiar la casa y se ayudan mutuamente~1,422,294~1~14~415~https://www.youtube.com/watch?v=3Dbb9z05YRpeE
Nastya finge jugar nuevos juegos para ni=C3=B1os con amigos~1,308,813~1~14~415~https://www.youtube.com/watch?v=3DYWt4k-Uythk
Nastya y pap=C3=A1 juegan juntos en juegos para ni=C3=B1os, colecci=C3=B3n de videos para ni=C3=B1os~1,047,334~1~14~415~https://www.youtube.com/watch?v=3DQ3b6DpxQE4g
Nastya y Evelyn, una historia sobre mejores amigas para siempre~1,093,801~1~14~415~https://www.youtube.com/watch?v=3D0UHBnSuQ0sg
Nastya est=C3=A1 aprendiendo a decir la hora por el reloj en Halloween~409,027~1~14~415~https://www.youtube.com/watch?v=3DDS9OQtmEl-Y
Nastya perdida en el bosque, divertida historia para ni=C3=B1os~441,725~1~14~415~https://www.youtube.com/watch?v=3DexoFDAs0Saw
Nastya rescata gatos e historia de Halloween~911,559~1~14~415~https://www.youtube.com/watch?v=3D1nbGQh7n_Ck
Nastya y pap=C3=A1 divertidas series al aire libre para ni=C3=B1os~1,487,950~1~14~415~https://www.youtube.com/watch?v=3D4MtcEKvXiN0
Nastya y pap=C3=A1 divertida serie de monstruos para ni=C3=B1os~1,110,957~1~14~415~https://www.youtube.com/watch?v=3DzqubDWskbkQ
Nastya y pap=C3=A1 divertida historia m=C3=A1gica para ni=C3=B1os~871,845~1~14~415~https://www.youtube.com/watch?v=3DRbXTp_3xJag
Nastya y sus amigos colecci=C3=B3n de actividades al aire libre para ni=C3=B1os.~731,219~1~14~415~https://www.youtube.com/watch?v=3DUFk9830wplA
Nastya y su amigo fingen jugar juegos divertidos con pap=C3=A1~938,849~1~14~415~https://www.youtube.com/watch?v=3DY9_jsb44oAY
Nastya y sus gatitos m=C3=A1s divertidos y lindos~1,129,119~1~14~415~https://www.youtube.com/watch?v=3D5-1LWaLSdLg
Nastya y cuentos divertidos de gatos para ni=C3=B1os~1,025,809~1~14~415~https://www.youtube.com/watch?v=3DtZ-OpEGbv94
Nastya y pap=C3=A1 usan una m=C3=A1scara de Halloween y van de compras~4,728,000~1~14~415~https://www.youtube.com/watch?v=3D7rSepMFvxeU
Pap=C3=A1 decora la habitaci=C3=B3n de Nastya para Halloween~19,610,963~1~14~415~https://www.youtube.com/watch?v=3DkKnCEBsX4tE
Nastya hace deseos y ayuda a la gente~8,674,752~1~14~415~https://www.youtube.com/watch?v=3DrWp8SqLDsDI
Nastya colecciona dulces para Halloween, historias de Halloween para ni=C3=B1os~670,236~1~14~415~https://www.youtube.com/watch?v=3DPFIJKWJBj4Q
Nastya cumple con las responsabilidades diarias con la ayuda de una lista de tareas pendientes~36,187,876~1~14~415~https://www.youtube.com/watch?v=3DeHf_94aMzAQ
Nastya y pap=C3=A1 nueva serie divertida para ni=C3=B1os~3,965,399~1~14~415~https://www.youtube.com/watch?v=3DzERkkCQ__Zc
Nastya y pap=C3=A1 fingen jugar bromas de Halloween~630,595~1~14~415~https://www.youtube.com/watch?v=3DD1ksZyL_XGM
Nastya recibe una sorpresa de sus mejores amigas~2,640,162~1~14~415~https://www.youtube.com/watch?v=3D6-GifXFsUSU
Pap=C3=A1 le ense=C3=B1a a Nastya cinco sentidos humanos~1,360,123~2~26~780~https://www.youtube.com/watch?v=3Dl5lc5Ujw1sY
Nastya y su d=C3=ADa escolar habitual con rutina matutina~2,013,994~2~26~780~https://www.youtube.com/watch?v=3D0rer7GM7P7A
Nastya y Maggie intentan ser buenas ni=C3=B1eras~14,306,859~2~26~780~https://www.youtube.com/watch?v=3D7iGnLbL4zUc
Nastya y pap=C3=A1 divertidas historias m=C3=A1gicas para ni=C3=B1os~822,589~2~26~780~https://www.youtube.com/watch?v=3DosNiZnX175s
Nastya comparte una receta sobre c=C3=B3mo hacer limo~4,557,896~2~26~780~https://www.youtube.com/watch?v=3DsowV4PenLYo
Nastya aprende los meses del a=C3=B1o de forma divertida~4,005,811~2~26~780~https://www.youtube.com/watch?v=3Dt8aKX-jSMtI
Nastya finge jugar al polic=C3=ADa divertido y ayudar a los dem=C3=A1s~1,347,767~2~26~780~https://www.youtube.com/watch?v=3D6lJajeqQyIY
Nastya y su historia de regreso a clases~2,097,732~2~26~780~https://www.youtube.com/watch?v=3DeE_uWoY5HB4
Nastya re=C3=BAne a sus amigas para una banda de super rock~6,246,667~2~26~780~https://www.youtube.com/watch?v=3DCbO9rv36cR4
Nastya y pap=C3=A1 est=C3=A1n explorando el parque jur=C3=A1sico en Haw=C3=A1i~15,550,271~2~26~780~https://www.youtube.com/watch?v=3Dw3ox3zTD4qk
Nastya finge ser un superh=C3=A9roe y ayuda a sus amigos~15,715,192~2~26~780~https://www.youtube.com/watch?v=3DWwTm-6YsK3c
Nastya cuida al beb=C3=A9 y quiere ser una buena hermana para el beb=C3=A9~17,973,548~2~26~780~https://www.youtube.com/watch?v=3Di7exDZCgNHk
Nastya y la historia sobre la diversidad en apariencia~6,259,848~2~26~780~https://www.youtube.com/watch?v=3DFCImKuGAeS4
Nastya descubre lo inteligente y creativa que es~4,220,190~2~26~780~https://www.youtube.com/watch?v=3Dr-pXdQfvG1k
Nastya est=C3=A1 aprendiendo las reglas de comportamiento cuando visita a un amigo~2,335,052~2~26~780~https://www.youtube.com/watch?v=3DruCYS16bx7M
Nastya finge jugar y compra coches de juguete usados~2,285,305~2~26~780~https://www.youtube.com/watch?v=3DMqrNpqedkZo
Nastya y Eva est=C3=A1n aprendiendo el alfabeto de verano~2,166,595~2~26~780~https://www.youtube.com/watch?v=3DsXPZNprHOMo
Nastya aprende sobre el espacio y los planetas y ayuda a los extraterrestres~16,349,297~2~26~780~https://www.youtube.com/watch?v=3DAm9VsCSOVko
Nastya en un viaje a Rusia para aprender sobre la cultura rusa~7,055,974~2~26~780~https://www.youtube.com/watch?v=3DyT28gYf9Nh4
Nastya aprende a convertirse en asistente de vuelo en el avi=C3=B3n~9,169,969~2~26~780~https://www.youtube.com/watch?v=3DNnT16WoT4u4
=C2=A1Nastya y su amiga aprenden a compartir entre ellos! Desaf=C3=ADo pop it para ni=C3=B1os~9,192,828~2~26~780~https://www.youtube.com/watch?v=3DvL4M979h0t4
Nastya aprende a cuidar de las alpacas y otros animales~11,736,088~2~26~780~https://www.youtube.com/watch?v=3DMBnSCQgxskQ
Nastya cuida a la beb=C3=A9 que se perdi=C3=B3 en la tienda de juguetes~2,121,285~2~26~780~https://www.youtube.com/watch?v=3Dg1QXDUF-agU
=C2=A1Nastya est=C3=A1 aprendiendo a convertirse en cient=C3=ADfica! Experimentos cient=C3=ADficos para ni=C3=B1os~6,717,639~2~26~780~https://www.youtube.com/watch?v=3DuAXX9uyprx8
Nastya y pap=C3=A1 componen sus propias historias divertidas de ficci=C3=B3n~3,308,562~2~26~780~https://www.youtube.com/watch?v=3D0hC8zH3fHE8
Nastya y Papa hicieron un tour de cacao para ver c=C3=B3mo se hace el chocolate.~9,063,421~2~26~780~https://www.youtube.com/watch?v=3Dk3QrQCV8NR4
Nastya y sus sue=C3=B1os de un viaje familiar! Diversi=C3=B3n para ni=C3=B1os~14,699,431~2~26~780~https://www.youtube.com/watch?v=3DfzloFtVpVBc
Nastya y pap=C3=A1 nuevo tour familiar, un hermoso d=C3=ADa en familia~3,307,884~2~26~780~https://www.youtube.com/watch?v=3DHjOl0fWjtuY
Nastya y su historia con animales en la granja del abuelo~26,823,691~2~26~780~https://www.youtube.com/watch?v=3D_bjcTGQ7wYE
Nastya y pap=C3=A1 fingen jugar en el Museo de Ciencias Infantiles de Puerto Rico~12,880,107~2~26~780~https://www.youtube.com/watch?v=3D80lI3SiURXw
Nastya finge ser madre y padre cuando era ni=C3=B1a~26,693,671~2~26~780~https://www.youtube.com/watch?v=3DuEA6CGHqmZU
Nastya le ense=C3=B1a a pap=C3=A1 c=C3=B3mo ser creativo e innovador~2,883,636~2~26~780~https://www.youtube.com/watch?v=3DPA0gT7hVUMg
Nastya quiere ser una buena hija para pap=C3=A1 y celebrar el D=C3=ADa del Padre~20,236,111~2~26~780~https://www.youtube.com/watch?v=3DQenrpJ371Tw
=C2=A1Nastya est=C3=A1 jugando al escondite con pap=C3=A1! Desaf=C3=ADo al escondite~1,806,421~2~26~780~https://www.youtube.com/watch?v=3DnZYlt4RM0uk
Nastya cambi=C3=B3 la lista de tareas pendientes del d=C3=ADa! Un d=C3=ADa lleno de diversi=C3=B3n con Nastya~28,023,057~2~26~780~https://www.youtube.com/watch?v=3DJpCSQr6LBUk
Nastya aprende sobre los insectos de su padre~8,010,936~2~26~780~https://www.youtube.com/watch?v=3Dhl1lYX01QE0
Nastya y pap=C3=A1 divertida historia de juguetes de hotel~6,557,045~2~26~780~https://www.youtube.com/watch?v=3DmpbxOBMr3MI
Nastya y pap=C3=A1, =C2=A1el misterioso desaf=C3=ADo de las cinco llaves! Desaf=C3=ADo de cerradura y llave~4,595,388~2~26~780~https://www.youtube.com/watch?v=3DvH6uC0dDKZA
Nastya y el cumplea=C3=B1os de pap=C3=A1~6,262,851~2~26~780~https://www.youtube.com/watch?v=3DupcAiagYzW0
Nastya y pap=C3=A1 en el delicioso desaf=C3=ADo de baile de frutas y verduras~6,832,542~2~26~780~https://www.youtube.com/watch?v=3DJUG2dJs8n64
Nastya aprende a reciclar cosas en el D=C3=ADa de la Tierra con juguetes paw patrol~9,985,500~2~26~780~https://www.youtube.com/watch?v=3DACa1mC8G2vw
Nastya y Evelyn y la ducha m=C3=A1gica, historia sobre la honestidad~1,846,299~2~26~780~https://www.youtube.com/watch?v=3DdYMidqoRocQ
Nastya finge que tiene enfermedad de la viruela de pegatinas y va a su padre~9,049,007~2~26~780~https://www.youtube.com/watch?v=3D3IWJfHfXdms
Nastya finge ser ni=C3=B1era para mu=C3=B1eca~9,709,345~2~26~780~https://www.youtube.com/watch?v=3D2oE0-HyvgM0
Nastya descubre de d=C3=B3nde vienen los huevos en Pascua~3,519,275~2~26~780~https://www.youtube.com/watch?v=3D0s-j7Jvn0_Y
Nastya y sus amigas se divierten en el parque de atracciones~2,941,373~2~26~780~https://www.youtube.com/watch?v=3De0R9SPr-DqM
Nastya y un viaje familiar a la casa de su abuela~2,326,481~2~26~780~https://www.youtube.com/watch?v=3DMQRAFSjp_9k
Nastya y Maggie y la historia de la varita m=C3=A1gica para ni=C3=B1os~43,531,643~2~26~780~https://www.youtube.com/watch?v=3D5ly63FtLIjo
Nastya finge ser asistente de vuelo en el avi=C3=B3n.~28,204,260~2~26~780~https://www.youtube.com/watch?v=3DZr9sUm2k8zE
=C2=A1Nastya imita a pap=C3=A1 todo el d=C3=ADa! Videos divertidos para ni=C3=B1os~2,514,706~2~26~780~https://www.youtube.com/watch?v=3DJaR8VxdbBkQ
Nastya ense=C3=B1a a los ni=C3=B1os el clima y los desastres naturales~4,341,646~2~26~780~https://www.youtube.com/watch?v=3DiHj4S4YHi5o
Nastya y su nueva habitaci=C3=B3n de bricolaje al estilo de Like Nastya~33,504,833~2~26~780~https://www.youtube.com/watch?v=3DvduMHZ7IBdY
Nastya y pap=C3=A1 est=C3=A1n en la fiesta de cumplea=C3=B1os de Halloween de Roma~1,262,988~2~26~780~https://www.youtube.com/watch?v=3DEJMgilLtvK4
Nastya finge jugar el juego del hotel con pap=C3=A1~9,105,888~2~26~780~https://www.youtube.com/watch?v=3D4IxFQQ1YZRQ
Nastya y las reglas de conducta en el aeropuerto~1,891,772~2~26~780~https://www.youtube.com/watch?v=3DzqcaicvsJhY
Nastya y pap=C3=A1 recogen verduras y fresas de las granjas para mam=C3=A1~4,800,640~2~26~780~https://www.youtube.com/watch?v=3DN3UgaHHVois
Nastya hace una buena obra por un vagabundo, aprende a ayudar a los dem=C3=A1s~9,007,137~2~26~780~https://www.youtube.com/watch?v=3D9W5_3FxREZs
Nastya y su pap=C3=A1 juegan sin juguetes~1,432,755~2~26~780~https://www.youtube.com/watch?v=3DXGf7X7181z0
Nastya finge jugar una persecuci=C3=B3n policial y aprende las reglas de seguridad~42,116,547~2~26~780~https://www.youtube.com/watch?v=3DZBD1oi1nnfU
Nastya y el desaf=C3=ADo caliente vs fr=C3=ADo con pap=C3=A1~1,571,821~2~26~780~https://www.youtube.com/watch?v=3DdT7s39SaGlU
Nastya aprende a andar en bicicleta~17,108,752~2~26~780~https://www.youtube.com/watch?v=3DSVkXhOkh7KA
Nastya finge jugar y ense=C3=B1a colores a los gatitos~3,363,064~2~26~780~https://www.youtube.com/watch?v=3DhCd-vvrz3vE
Nastya finge jugar divertida historia de persecuci=C3=B3n policial para los ni=C3=B1os~49,853,956~2~26~780~https://www.youtube.com/watch?v=3DZ0rT7RceKl4
